"Price","Strike","Maturity","sigma"
0.501,0.5,0.1,0.02
0.501,0.5,0.1,0.04
0.501,0.5,0.1,0.06
0.501,0.5,0.1,0.08
0.501,0.5,0.1,0.1
0.501,0.5,0.1,0.12
0.501,0.5,0.1,0.14
0.501,0.5,0.1,0.16
0.501,0.5,0.1,0.18
0.501,0.5,0.1,0.2
0.501,0.5,0.1,0.22
0.501,0.5,0.1,0.24
0.501,0.5,0.1,0.26
0.501,0.5,0.1,0.28
0.501,0.5,0.1,0.3
0.501,0.5,0.1,0.32
0.501,0.5,0.1,0.34
0.501,0.5,0.1,0.36
0.501,0.5,0.1,0.38
0.501,0.5,0.1,0.4
0.501,0.5,0.1,0.42
0.501,0.5,0.1,0.44
0.501,0.5,0.1,0.46
0.501,0.5,0.1,0.48
0.501,0.5,0.1,0.5
0.501,0.5,0.1,0.52
0.501,0.5,0.1,0.54
0.501,0.5,0.1,0.56
0.501,0.5,0.1,0.58
0.501,0.5,0.1,0.6
0.50101,0.5,0.1,0.62
0.50101,0.5,0.1,0.64
0.50102,0.5,0.1,0.66
0.50102,0.5,0.1,0.68
0.50103,0.5,0.1,0.7
0.50105,0.5,0.1,0.72
0.50107,0.5,0.1,0.74
0.50109,0.5,0.1,0.76
0.50112,0.5,0.1,0.78
0.50116,0.5,0.1,0.8
0.5012,0.5,0.1,0.82
0.50126,0.5,0.1,0.84
0.50132,0.5,0.1,0.86
0.50139,0.5,0.1,0.88
0.50148,0.5,0.1,0.9
0.50157,0.5,0.1,0.92
0.50168,0.5,0.1,0.94
0.5018,0.5,0.1,0.96
0.50194,0.5,0.1,0.98
0.50209,0.5,0.1,1
0.502,0.5,0.2,0.02
0.502,0.5,0.2,0.04
0.502,0.5,0.2,0.06
0.502,0.5,0.2,0.08
0.502,0.5,0.2,0.1
0.502,0.5,0.2,0.12
0.502,0.5,0.2,0.14
0.502,0.5,0.2,0.16
0.502,0.5,0.2,0.18
0.502,0.5,0.2,0.2
0.502,0.5,0.2,0.22
0.502,0.5,0.2,0.24
0.502,0.5,0.2,0.26
0.502,0.5,0.2,0.28
0.502,0.5,0.2,0.3
0.502,0.5,0.2,0.32
0.502,0.5,0.2,0.34
0.502,0.5,0.2,0.36
0.502,0.5,0.2,0.38
0.502,0.5,0.2,0.4
0.502,0.5,0.2,0.42
0.502,0.5,0.2,0.44
0.50201,0.5,0.2,0.46
0.50202,0.5,0.2,0.48
0.50204,0.5,0.2,0.5
0.50206,0.5,0.2,0.52
0.50209,0.5,0.2,0.54
0.50214,0.5,0.2,0.56
0.5022,0.5,0.2,0.58
0.50227,0.5,0.2,0.6
0.50237,0.5,0.2,0.62
0.50248,0.5,0.2,0.64
0.50263,0.5,0.2,0.66
0.50279,0.5,0.2,0.68
0.50299,0.5,0.2,0.7
0.50321,0.5,0.2,0.72
0.50346,0.5,0.2,0.74
0.50375,0.5,0.2,0.76
0.50407,0.5,0.2,0.78
0.50442,0.5,0.2,0.8
0.50481,0.5,0.2,0.82
0.50524,0.5,0.2,0.84
0.5057,0.5,0.2,0.86
0.50619,0.5,0.2,0.88
0.50673,0.5,0.2,0.9
0.50729,0.5,0.2,0.92
0.5079,0.5,0.2,0.94
0.50854,0.5,0.2,0.96
0.50922,0.5,0.2,0.98
0.50993,0.5,0.2,1
0.50299,0.5,0.3,0.02
0.50299,0.5,0.3,0.04
0.50299,0.5,0.3,0.06
0.50299,0.5,0.3,0.08
0.50299,0.5,0.3,0.1
0.50299,0.5,0.3,0.12
0.50299,0.5,0.3,0.14
0.50299,0.5,0.3,0.16
0.50299,0.5,0.3,0.18
0.50299,0.5,0.3,0.2
0.50299,0.5,0.3,0.22
0.50299,0.5,0.3,0.24
0.50299,0.5,0.3,0.26
0.50299,0.5,0.3,0.28
0.50299,0.5,0.3,0.3
0.50299,0.5,0.3,0.32
0.50299,0.5,0.3,0.34
0.503,0.5,0.3,0.36
0.50301,0.5,0.3,0.38
0.50302,0.5,0.3,0.4
0.50304,0.5,0.3,0.42
0.50308,0.5,0.3,0.44
0.50314,0.5,0.3,0.46
0.50321,0.5,0.3,0.48
0.50332,0.5,0.3,0.5
0.50345,0.5,0.3,0.52
0.50362,0.5,0.3,0.54
0.50382,0.5,0.3,0.56
0.50407,0.5,0.3,0.58
0.50436,0.5,0.3,0.6
0.50471,0.5,0.3,0.62
0.5051,0.5,0.3,0.64
0.50554,0.5,0.3,0.66
0.50603,0.5,0.3,0.68
0.50658,0.5,0.3,0.7
0.50718,0.5,0.3,0.72
0.50783,0.5,0.3,0.74
0.50854,0.5,0.3,0.76
0.5093,0.5,0.3,0.78
0.51012,0.5,0.3,0.8
0.51099,0.5,0.3,0.82
0.51191,0.5,0.3,0.84
0.51288,0.5,0.3,0.86
0.5139,0.5,0.3,0.88
0.51497,0.5,0.3,0.9
0.51608,0.5,0.3,0.92
0.51725,0.5,0.3,0.94
0.51846,0.5,0.3,0.96
0.51971,0.5,0.3,0.98
0.521,0.5,0.3,1
0.50398,0.5,0.4,0.02
0.50398,0.5,0.4,0.04
0.50398,0.5,0.4,0.06
0.50398,0.5,0.4,0.08
0.50398,0.5,0.4,0.1
0.50398,0.5,0.4,0.12
0.50398,0.5,0.4,0.14
0.50398,0.5,0.4,0.16
0.50398,0.5,0.4,0.18
0.50398,0.5,0.4,0.2
0.50398,0.5,0.4,0.22
0.50398,0.5,0.4,0.24
0.50398,0.5,0.4,0.26
0.50399,0.5,0.4,0.28
0.50399,0.5,0.4,0.3
0.50399,0.5,0.4,0.32
0.50401,0.5,0.4,0.34
0.50403,0.5,0.4,0.36
0.50407,0.5,0.4,0.38
0.50413,0.5,0.4,0.4
0.50422,0.5,0.4,0.42
0.50435,0.5,0.4,0.44
0.50452,0.5,0.4,0.46
0.50474,0.5,0.4,0.48
0.50501,0.5,0.4,0.5
0.50534,0.5,0.4,0.52
0.50573,0.5,0.4,0.54
0.50619,0.5,0.4,0.56
0.50672,0.5,0.4,0.58
0.50732,0.5,0.4,0.6
0.50799,0.5,0.4,0.62
